"season","yr","mnth","hr","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","casual","new","total"
"Spring","2011","Jan","0","No","Saturday","No","Good",3.28,3.0014,81,0,3,13,16
"Spring","2011","Jan","1","No","Saturday","No","Good",2.34,1.9982,80,0,8,32,40
"Spring","2011","Jan","2","No","Saturday","No","Good",2.34,1.9982,80,0,5,27,32
"Spring","2011","Jan","3","No","Saturday","No","Good",3.28,3.0014,75,0,3,10,13
"Spring","2011","Jan","4","No","Saturday","No","Good",3.28,3.0014,75,0,0,1,1
"Spring","2011","Jan","5","No","Saturday","No","Fair",3.28,1.0016,75,6.0032,0,1,1
"Spring","2011","Jan","6","No","Saturday","No","Good",2.34,1.9982,80,0,2,0,2
"Spring","2011","Jan","7","No","Saturday","No","Good",1.4,1.0016,86,0,1,2,3
"Spring","2011","Jan","8","No","Saturday","No","Good",3.28,3.0014,75,0,1,7,8
"Spring","2011","Jan","9","No","Saturday","No","Good",7.04,7.001,76,0,8,6,14
"Spring","2011","Jan","10","No","Saturday","No","Good",9.86,9.9974,76,16.9979,12,24,36
"Spring","2011","Jan","11","No","Saturday","No","Good",8.92,5.9978,81,19.0012,26,30,56
"Spring","2011","Jan","12","No","Saturday","No","Good",11.74,11.9972,77,19.0012,29,55,84
"Spring","2011","Jan","13","No","Saturday","No","Fair",13.62,13.997,72,19.9995,47,47,94
"Spring","2011","Jan","14","No","Saturday","No","Fair",13.62,13.997,72,19.0012,35,71,106
"Spring","2011","Jan","15","No","Saturday","No","Fair",12.68,13.0004,77,19.9995,40,70,110
"Spring","2011","Jan","16","No","Saturday","No","Fair",11.74,11.9972,82,19.9995,41,52,93
"Spring","2011","Jan","17","No","Saturday","No","Fair",12.68,13.0004,82,19.0012,15,52,67
"Spring","2011","Jan","18","No","Saturday","No","Bad",11.74,11.9972,88,16.9979,9,26,35
"Spring","2011","Jan","19","No","Saturday","No","Bad",11.74,11.9972,88,16.9979,6,31,37
"Spring","2011","Jan","20","No","Saturday","No","Fair",10.8,11.0006,87,16.9979,11,25,36
"Spring","2011","Jan","21","No","Saturday","No","Fair",10.8,11.0006,87,12.998,3,31,34
"Spring","2011","Jan","22","No","Saturday","No","Fair",10.8,11.0006,94,15.0013,11,17,28
"Spring","2011","Jan","23","No","Saturday","No","Fair",13.62,13.997,88,19.9995,15,24,39
"Spring","2011","Jan","0","No","Sunday","No","Fair",13.62,13.997,88,19.9995,4,13,17
"Spring","2011","Jan","1","No","Sunday","No","Fair",12.68,13.0004,94,16.9979,1,16,17
"Spring","2011","Jan","2","No","Sunday","No","Fair",11.74,11.9972,100,19.0012,1,8,9
"Spring","2011","Jan","3","No","Sunday","No","Fair",13.62,13.997,94,12.998,2,4,6
"Spring","2011","Jan","4","No","Sunday","No","Fair",13.62,13.997,94,12.998,2,1,3
"Spring","2011","Jan","6","No","Sunday","No","Bad",11.74,11.9972,77,19.9995,0,2,2
"Spring","2011","Jan","7","No","Sunday","No","Fair",10.8,11.0006,76,12.998,0,1,1
"Spring","2011","Jan","8","No","Sunday","No","Bad",10.8,11.0006,71,15.0013,0,8,8
"Spring","2011","Jan","9","No","Sunday","No","Fair",9.86,9.9974,76,15.0013,1,19,20
