"mnth","hr","holiday","weekday","weathersit","temp","atemp","hum","windspeed","total"
"Jan","0","No","Saturday","Good",3.28,3.0014,81,0,16
"Jan","2","No","Saturday","Good",2.34,1.9982,80,0,32
"Jan","3","No","Saturday","Good",3.28,3.0014,75,0,13
"Jan","4","No","Saturday","Good",3.28,3.0014,75,0,1
"Jan","5","No","Saturday","Fair",3.28,1.0016,75,6.0032,1
"Jan","6","No","Saturday","Good",2.34,1.9982,80,0,2
"Jan","7","No","Saturday","Good",1.4,1.0016,86,0,3
"Jan","9","No","Saturday","Good",7.04,7.001,76,0,14
"Jan","10","No","Saturday","Good",9.86,9.9974,76,16.9979,36
"Jan","11","No","Saturday","Good",8.92,5.9978,81,19.0012,56
"Jan","12","No","Saturday","Good",11.74,11.9972,77,19.0012,84
"Jan","13","No","Saturday","Fair",13.62,13.997,72,19.9995,94
"Jan","14","No","Saturday","Fair",13.62,13.997,72,19.0012,106
"Jan","15","No","Saturday","Fair",12.68,13.0004,77,19.9995,110
"Jan","16","No","Saturday","Fair",11.74,11.9972,82,19.9995,93
"Jan","17","No","Saturday","Fair",12.68,13.0004,82,19.0012,67
"Jan","18","No","Saturday","Bad",11.74,11.9972,88,16.9979,35
"Jan","19","No","Saturday","Bad",11.74,11.9972,88,16.9979,37
"Jan","20","No","Saturday","Fair",10.8,11.0006,87,16.9979,36
"Jan","21","No","Saturday","Fair",10.8,11.0006,87,12.998,34
"Jan","23","No","Saturday","Fair",13.62,13.997,88,19.9995,39
"Jan","0","No","Sunday","Fair",13.62,13.997,88,19.9995,17
"Jan","1","No","Sunday","Fair",12.68,13.0004,94,16.9979,17
"Jan","4","No","Sunday","Fair",13.62,13.997,94,12.998,3
"Jan","6","No","Sunday","Bad",11.74,11.9972,77,19.9995,2
"Jan","8","No","Sunday","Bad",10.8,11.0006,71,15.0013,8
"Jan","9","No","Sunday","Fair",9.86,9.9974,76,15.0013,20
"Jan","10","No","Sunday","Fair",8.92,7.001,81,15.0013,53
"Jan","11","No","Sunday","Fair",8.92,5.9978,71,16.9979,70
"Jan","12","No","Sunday","Fair",8.92,5.9978,66,19.9995,93
"Jan","13","No","Sunday","Fair",8.92,7.001,66,8.9981,75
"Jan","14","No","Sunday","Bad",8.92,7.001,76,12.998,59
"Jan","15","No","Sunday","Bad",7.98,5.9978,81,11.0014,74
"Jan","16","No","Sunday","Bad",7.98,5.9978,71,11.0014,76
"Jan","17","No","Sunday","Good",7.98,5.9978,57,12.998,65
"Jan","18","No","Sunday","Fair",8.92,5.9978,46,22.0028,53
"Jan","19","No","Sunday","Good",7.04,3.0014,42,30.0026,30
"Jan","20","No","Sunday","Good",6.1,1.9982,39,23.9994,22
"Jan","21","No","Sunday","Good",4.22,-0.998200000000001,44,22.0028,31
"Jan","22","No","Sunday","Good",3.28,-2.0014,44,19.9995,9
"Jan","23","No","Sunday","Good",2.34,-0.998200000000001,47,11.0014,8
"Jan","0","No","Monday","Good",2.34,-2.998,44,23.9994,5
"Jan","1","No","Monday","Good",1.4,-4.9978,44,27.9993,2
"Jan","4","No","Monday","Good",-0.48,-6.9976,47,26.0027,1
"Jan","5","No","Monday","Good",-0.48,-6.9976,47,19.0012,3
"Jan","7","No","Monday","Good",-1.42,-6.9976,50,12.998,64
"Jan","9","No","Monday","Good",-0.48,-6.9976,43,26.0027,88
"Jan","10","No","Monday","Good",0.459999999999999,-4.9978,43,16.9979,44
"Jan","11","No","Monday","Good",1.4,-4.0012,40,22.0028,51
"Jan","14","No","Monday","Good",4.22,-0.00159999999999982,30,19.0012,77
"Jan","15","No","Monday","Good",4.22,-0.00159999999999982,30,16.9979,72
"Jan","17","No","Monday","Good",3.28,-0.998200000000001,30,15.0013,157
"Jan","18","No","Monday","Good",3.28,1.0016,32,7.0015,157
"Jan","19","No","Monday","Good",1.4,1.0016,47,0,110
"Jan","20","No","Monday","Good",1.4,-0.998200000000001,47,7.0015,52
"Jan","21","No","Monday","Good",0.459999999999999,-2.998,64,8.9981,52
"Jan","22","No","Monday","Good",-1.42,-6.001,69,8.9981,20
"Jan","23","No","Monday","Good",0.459999999999999,-2.0014,55,7.0015,12
"Jan","0","No","Tuesday","Good",-0.48,-4.0012,55,7.0015,5
"Jan","1","No","Tuesday","Good",-0.48,-4.0012,59,7.0015,2
"Jan","2","No","Tuesday","Good",-1.42,-6.001,63,8.9981,1
"Jan","4","No","Tuesday","Good",-1.42,-4.0012,63,6.0032,2
"Jan","7","No","Tuesday","Good",-2.36,-6.001,74,8.9981,94
"Jan","8","No","Tuesday","Good",-1.42,-6.001,69,11.0014,179
"Jan","10","No","Tuesday","Fair",-0.48,-6.9976,69,22.0028,42
"Jan","11","No","Tuesday","Good",2.34,-2.0014,51,19.9995,57
"Jan","13","No","Tuesday","Good",3.28,-0.998200000000001,56,12.998,97
"Jan","14","No","Tuesday","Good",4.22,1.0016,52,15.0013,63
"Jan","16","No","Tuesday","Good",6.1,3.0014,49,16.9979,83
"Jan","17","No","Tuesday","Good",5.16,1.9982,48,15.0013,212
"Jan","18","No","Tuesday","Good",4.22,1.0016,48,12.998,182
"Jan","19","No","Tuesday","Good",3.28,1.0016,48,7.0015,112
"Jan","20","No","Tuesday","Good",3.28,1.0016,48,7.0015,54
"Jan","21","No","Tuesday","Good",2.34,1.9982,64,0,48
"Jan","22","No","Tuesday","Good",2.34,1.0016,64,6.0032,35
"Jan","23","No","Tuesday","Good",1.4,-0.998200000000001,69,6.0032,11
"Jan","0","No","Wednesday","Good",1.4,1.0016,64,0,6
"Jan","1","No","Wednesday","Good",-0.48,-2.998,74,6.0032,6
"Jan","2","No","Wednesday","Good",-0.48,-2.998,74,6.0032,2
"Jan","5","No","Wednesday","Good",2.34,-0.998200000000001,47,11.0014,3
"Jan","6","No","Wednesday","Good",1.4,-2.998,47,15.0013,33
"Jan","7","No","Wednesday","Good",0.459999999999999,-4.0012,43,12.998,88
"Jan","9","No","Wednesday","Good",2.34,-2.998,37,22.0028,115
"Jan","10","No","Wednesday","Good",2.34,-2.998,37,22.0028,57
"Jan","11","No","Wednesday","Good",4.22,-0.998200000000001,33,22.0028,46
"Jan","12","No","Wednesday","Good",4.22,-0.998200000000001,33,22.0028,79
"Jan","13","No","Wednesday","Good",5.16,1.0016,30,19.9995,71
"Jan","14","No","Wednesday","Good",6.1,3.0014,28,12.998,62
"Jan","15","No","Wednesday","Good",6.1,3.0014,28,12.998,62
"Jan","16","No","Wednesday","Good",6.1,5.0012,28,6.0032,89
"Jan","17","No","Wednesday","Good",3.28,-0.998200000000001,38,12.998,190
"Jan","19","No","Wednesday","Good",3.28,1.0016,38,7.0015,132
"Jan","20","No","Wednesday","Good",2.34,-0.998200000000001,47,11.0014,89
"Jan","21","No","Wednesday","Good",1.4,-2.998,51,12.998,43
"Jan","22","No","Wednesday","Good",0.459999999999999,-2.998,55,8.9981,42
"Jan","23","No","Wednesday","Good",1.4,1.0016,47,0,19
"Jan","0","No","Thursday","Good",0.459999999999999,-0.00159999999999982,55,0,11
"Jan","1","No","Thursday","Good",-0.48,-0.998200000000001,64,0,4
"Jan","2","No","Thursday","Good",-0.48,-0.998200000000001,64,0,2
"Jan","4","No","Thursday","Fair",-0.48,-2.998,64,6.0032,1
"Jan","5","No","Thursday","Fair",-1.42,-4.0012,69,6.0032,4
"Jan","6","No","Thursday","Fair",-1.42,-4.9978,63,7.0015,36
"Jan","7","No","Thursday","Fair",-0.48,-0.998200000000001,59,0,95
"Jan","9","No","Thursday","Fair",0.459999999999999,-0.00159999999999982,51,0,122
"Jan","11","No","Thursday","Good",2.34,1.0016,44,6.0032,59
"Jan","12","No","Thursday","Good",4.22,3.0014,35,0,84
"Jan","13","No","Thursday","Good",4.22,1.9982,35,7.0015,67
"Jan","14","No","Thursday","Good",5.16,1.9982,36,11.0014,70
"Jan","15","No","Thursday","Good",5.16,1.9982,36,0,62
"Jan","16","No","Thursday","Good",4.22,1.0016,38,11.0014,86
"Jan","18","No","Thursday","Good",2.34,-0.998200000000001,51,8.9981,163
"Jan","19","No","Thursday","Good",2.34,1.0016,55,6.0032,112
"Jan","20","No","Thursday","Good",1.4,-2.0014,51,11.0014,69
"Jan","21","No","Thursday","Fair",2.34,-2.0014,55,15.0013,48
"Jan","23","No","Thursday","Fair",1.4,-2.998,59,12.998,23
"Jan","0","No","Friday","Fair",1.4,-2.998,64,12.998,17
"Jan","2","No","Friday","Fair",1.4,-2.998,69,15.0013,1
"Jan","5","No","Friday","Bad",2.34,1.9982,55,0,5
"Jan","6","No","Friday","Fair",1.4,1.0016,69,0,34
"Jan","7","No","Friday","Good",1.4,-2.0014,69,8.9981,84
"Jan","8","No","Friday","Good",1.4,-2.998,51,16.9979,210
"Jan","9","No","Friday","Good",1.4,-4.0012,47,19.9995,134
"Jan","10","No","Friday","Good",2.34,-2.998,37,22.0028,63
"Jan","11","No","Friday","Fair",1.4,-2.998,40,15.0013,67
"Jan","12","No","Friday","Fair",1.4,-2.998,37,16.9979,59
"Jan","13","No","Friday","Fair",1.4,-4.0012,37,19.0012,73
"Jan","14","No","Friday","Fair",1.4,-2.998,40,16.9979,50
"Jan","15","No","Friday","Fair",1.4,-2.0014,37,11.0014,72
"Jan","17","No","Friday","Fair",1.4,1.0016,37,0,187
"Jan","18","No","Friday","Good",1.4,-0.998200000000001,40,6.0032,123
"Jan","19","No","Friday","Good",-0.48,-2.998,55,6.0032,95
"Jan","20","No","Friday","Good",0.459999999999999,-2.0014,47,7.0015,51
"Jan","21","No","Friday","Good",0.459999999999999,-2.998,47,8.9981,39
"Jan","23","No","Friday","Fair",0.459999999999999,-2.998,51,11.0014,15
"Jan","1","No","Saturday","Fair",0.459999999999999,-2.0014,55,6.0032,16
"Jan","2","No","Saturday","Fair",0.459999999999999,-0.00159999999999982,55,0,16
"Jan","3","No","Saturday","Bad",0.459999999999999,-2.998,55,11.0014,7
"Jan","4","No","Saturday","Bad",0.459999999999999,-2.998,55,11.0014,1
"Jan","5","No","Saturday","Fair",-0.48,-4.9978,74,11.0014,5
"Jan","6","No","Saturday","Fair",-0.48,-4.9978,74,11.0014,2
"Jan","7","No","Saturday","Fair",-0.48,-4.0012,74,7.0015,9
"Jan","8","No","Saturday","Bad",-0.48,-4.0012,93,7.0015,15
"Jan","10","No","Saturday","Fair",0.459999999999999,-2.998,80,11.0014,61
"Jan","11","No","Saturday","Fair",1.4,-4.0012,69,26.0027,62
"Jan","12","No","Saturday","Fair",1.4,-4.0012,59,23.9994,98
"Jan","13","No","Saturday","Good",1.4,-4.0012,44,22.0028,102
"Jan","14","No","Saturday","Good",1.4,-4.9978,32,32.9975,95
"Jan","15","No","Saturday","Good",1.4,-4.9978,32,30.0026,74
"Jan","16","No","Saturday","Good",0.459999999999999,-6.9976,29,30.0026,76
"Jan","18","No","Saturday","Good",-1.42,-8.0008,39,19.9995,55
"Jan","19","No","Saturday","Good",-1.42,-8.0008,36,16.9979,30
"Jan","20","No","Saturday","Good",-2.36,-8.0008,36,16.9979,28
"Jan","21","No","Saturday","Good",-2.36,-8.9974,39,23.9994,37
"Jan","22","No","Saturday","Good",-2.36,-8.9974,36,26.0027,34
"Jan","0","No","Sunday","Good",-3.3,-10.9972,42,26.0027,25
"Jan","1","No","Sunday","Good",-3.3,-12.0004,42,31.0009,12
"Jan","3","No","Sunday","Good",-3.3,-10.9972,46,27.9993,4
"Jan","4","No","Sunday","Good",-4.24,-10.0006,53,12.998,1
"Jan","5","No","Sunday","Good",-4.24,-10.0006,53,12.998,1
"Jan","7","No","Sunday","Good",-4.24,-10.0006,53,12.998,6
"Jan","8","No","Sunday","Good",-3.3,-10.0006,49,19.0012,10
"Jan","9","No","Sunday","Good",-2.36,-10.9972,46,35.0008,19
"Jan","10","No","Sunday","Good",-1.42,-8.9974,43,26.0027,49
"Jan","11","No","Sunday","Good",-0.48,-8.0008,40,35.0008,49
"Jan","12","No","Sunday","Good",0.459999999999999,-6.9976,37,30.0026,83
"Jan","13","No","Sunday","Good",1.4,-4.9978,34,30.0026,75
"Jan","14","No","Sunday","Good",2.34,-4.0012,32,31.0009,72
"Jan","15","No","Sunday","Good",2.34,-2.998,35,23.9994,82
"Jan","16","No","Sunday","Good",1.4,-4.9978,34,30.0026,92
"Jan","17","No","Sunday","Good",0.459999999999999,-6.001,37,26.0027,62
"Jan","18","No","Sunday","Good",-0.48,-6.9976,40,22.0028,48
"Jan","19","No","Sunday","Good",-0.48,-6.9976,43,22.0028,41
"Jan","20","No","Sunday","Good",-1.42,-8.0008,46,16.9979,38
"Jan","21","No","Sunday","Good",-1.42,-8.9974,46,27.9993,20
"Jan","22","No","Sunday","Good",-1.42,-8.0008,46,19.9995,15
"Jan","23","No","Sunday","Good",-2.36,-6.9976,50,12.998,6
"Jan","0","No","Monday","Good",-2.36,-8.0008,50,19.0012,5
"Jan","1","No","Monday","Good",-2.36,-8.0008,50,19.0012,1
"Jan","2","No","Monday","Good",-2.36,-8.0008,50,15.0013,3
"Jan","3","No","Monday","Good",-2.36,-8.0008,50,15.0013,1
"Jan","4","No","Monday","Good",-3.3,-8.0008,54,8.9981,3
"Jan","5","No","Monday","Good",-3.3,-8.9974,54,16.9979,3
"Jan","8","No","Monday","Fair",-2.36,-8.0008,50,19.0012,188
"Jan","10","No","Monday","Fair",-1.42,-8.0008,50,19.9995,31
"Jan","11","No","Monday","Fair",-0.48,-6.9976,47,19.0012,30
"Jan","12","No","Monday","Fair",1.4,-4.0012,40,19.0012,52
"Jan","13","No","Monday","Fair",1.4,-4.0012,40,19.0012,54
"Jan","14","No","Monday","Fair",1.4,-2.998,40,15.0013,47
"Jan","15","No","Monday","Fair",1.4,-2.998,40,15.0013,45
"Jan","16","No","Monday","Good",1.4,-2.0014,40,8.9981,74
"Jan","17","No","Monday","Good",1.4,-0.998200000000001,40,7.0015,178
"Jan","18","No","Monday","Good",1.4,-2.998,40,15.0013,155
"Jan","19","No","Monday","Good",-0.48,-4.9978,47,11.0014,95
"Jan","20","No","Monday","Good",-0.48,-4.9978,50,11.0014,74
"Jan","21","No","Monday","Good",-1.42,-6.9976,59,12.998,38
"Jan","22","No","Monday","Good",-1.42,-6.001,59,11.0014,24
"Jan","23","No","Monday","Good",-1.42,-6.001,59,11.0014,18
"Jan","0","No","Tuesday","Good",-1.42,-4.9978,59,7.0015,12
"Jan","1","No","Tuesday","Good",-1.42,-6.001,59,11.0014,3
"Jan","5","No","Tuesday","Fair",-0.48,-4.0012,55,8.9981,6
"Jan","8","No","Tuesday","Fair",0.459999999999999,-2.0014,51,6.0032,217
"Jan","9","No","Tuesday","Fair",0.459999999999999,-2.998,51,11.0014,130
"Jan","10","No","Tuesday","Fair",1.4,-2.0014,51,11.0014,54
"Jan","11","No","Tuesday","Fair",1.4,-2.0014,47,8.9981,35
"Jan","12","No","Tuesday","Fair",1.4,-0.998200000000001,51,7.0015,57
"Jan","13","No","Tuesday","Fair",1.4,-0.998200000000001,59,6.0032,52
"Jan","14","No","Tuesday","Fair",1.4,-0.998200000000001,59,6.0032,63
"Jan","15","No","Tuesday","Fair",-0.48,-2.998,80,6.0032,47
"Jan","16","No","Tuesday","Fair",-0.48,-6.001,86,15.0013,76
"Jan","18","No","Tuesday","Bad",-0.48,-4.0012,93,7.0015,95
"Jan","19","No","Tuesday","Bad",-0.48,-0.998200000000001,93,0,51
"Jan","20","No","Tuesday","Bad",-0.48,-6.001,93,12.998,32
"Jan","21","No","Tuesday","Bad",-0.48,-2.998,86,6.0032,20
"Jan","22","No","Tuesday","Bad",-0.48,-4.0012,93,7.0015,29
"Jan","23","No","Tuesday","Bad",-0.48,-2.998,93,6.0032,19
"Jan","0","No","Wednesday","Fair",-0.48,-2.998,86,6.0032,7
"Jan","1","No","Wednesday","Fair",-0.48,-4.0012,86,7.0015,6
"Jan","2","No","Wednesday","Good",-1.42,-6.001,86,8.9981,1
"Jan","7","No","Wednesday","Good",-1.42,-6.001,69,8.9981,54
"Jan","8","No","Wednesday","Good",-0.48,-4.9978,59,11.0014,128
"Jan","9","No","Wednesday","Good",-0.48,-6.9976,59,22.0028,81
"Jan","11","No","Wednesday","Good",1.4,-4.0012,51,26.0027,35
"Jan","13","No","Wednesday","Good",2.34,-2.998,44,23.9994,49
"Jan","14","No","Wednesday","Good",1.4,-4.0012,47,22.0028,44
"Jan","15","No","Wednesday","Good",1.4,-4.9978,47,27.9993,49
"Jan","16","No","Wednesday","Good",2.34,-2.998,44,22.0028,68
"Jan","17","No","Wednesday","Good",1.4,-4.0012,47,23.9994,139
"Jan","18","No","Wednesday","Good",1.4,-6.001,47,35.0008,137
"Jan","19","No","Wednesday","Good",0.459999999999999,-6.001,47,27.9993,83
"Jan","21","No","Wednesday","Good",-0.48,-6.9976,55,22.0028,57
"Jan","22","No","Wednesday","Good",-0.48,-8.0008,55,30.0026,33
"Jan","0","No","Thursday","Good",-1.42,-8.0008,59,19.0012,7
"Jan","1","No","Thursday","Good",-1.42,-8.0008,50,19.0012,2
"Jan","3","No","Thursday","Good",-1.42,-8.0008,50,22.0028,3
"Jan","5","No","Thursday","Good",-1.42,-8.0008,50,19.9995,3
"Jan","6","No","Thursday","Good",-2.36,-6.001,54,8.9981,28
"Jan","7","No","Thursday","Good",-2.36,-6.001,54,8.9981,72
"Jan","8","No","Thursday","Good",-1.42,-6.9976,50,12.998,202
"Jan","10","No","Thursday","Fair",-0.48,-6.9976,50,23.9994,38
"Jan","11","No","Thursday","Fair",1.4,-4.9978,44,30.0026,37
"Jan","12","No","Thursday","Good",1.4,-4.9978,44,27.9993,52
"Jan","13","No","Thursday","Good",2.34,-2.998,41,30.0026,83
"Jan","14","No","Thursday","Good",2.34,-2.998,41,26.0027,42
"Jan","15","No","Thursday","Good",3.28,-2.0014,38,19.9995,60
"Jan","16","No","Thursday","Good",3.28,-2.0014,38,23.9994,78
"Jan","17","No","Thursday","Good",1.4,-4.0012,40,19.0012,162
"Jan","18","No","Thursday","Good",1.4,-4.0012,40,22.0028,144
"Jan","19","No","Thursday","Good",-0.48,-6.001,47,16.9979,99
"Jan","20","No","Thursday","Good",-0.48,-6.001,47,15.0013,64
"Jan","22","No","Thursday","Good",-1.42,-8.0008,46,22.0028,30
"Jan","23","No","Thursday","Good",-2.36,-6.9976,50,12.998,15
"Jan","3","No","Friday","Good",-3.3,-6.9976,54,7.0015,1
"Jan","6","No","Friday","Good",-3.3,-4.0012,54,0,17
"Jan","8","No","Friday","Good",-2.36,-4.9978,68,0,158
"Jan","9","No","Friday","Good",-1.42,-6.001,69,8.9981,117
"Jan","10","No","Friday","Good",0.459999999999999,-4.0012,55,12.998,44
"Jan","11","No","Friday","Good",0.459999999999999,-4.9978,51,19.0012,53
"Jan","12","No","Friday","Good",1.4,-2.998,44,16.9979,61
"Jan","13","No","Friday","Good",2.34,-2.998,37,26.0027,77
"Jan","15","No","Friday","Good",3.28,-0.00159999999999982,38,11.0014,68
"Jan","19","No","Friday","Good",-0.48,-2.998,59,6.0032,92
"Jan","20","No","Friday","Good",0.459999999999999,-0.00159999999999982,59,0,68
"Jan","21","No","Friday","Good",-0.48,-0.998200000000001,69,0,52
"Jan","22","No","Friday","Fair",-0.48,-0.998200000000001,69,0,36
"Jan","23","No","Friday","Fair",0.459999999999999,-0.00159999999999982,55,0,27
"Jan","0","No","Saturday","Good",0.459999999999999,-0.00159999999999982,55,0,28
"Jan","1","No","Saturday","Fair",-0.48,-2.998,59,6.0032,20
"Jan","2","No","Saturday","Fair",-0.48,-2.998,59,6.0032,12
"Jan","4","No","Saturday","Fair",-0.48,-0.998200000000001,59,0,5
"Jan","5","No","Saturday","Good",-0.48,-0.998200000000001,59,0,1
"Jan","6","No","Saturday","Good",-1.42,-4.9978,63,7.0015,3
"Jan","7","No","Saturday","Good",-1.42,-2.0014,63,0,10
"Jan","8","No","Saturday","Good",-1.42,-6.001,63,8.9981,23
"Jan","9","No","Saturday","Good",-0.48,-4.0012,64,8.9981,33
"Jan","10","No","Saturday","Good",0.459999999999999,-2.998,59,11.0014,59
"Jan","11","No","Saturday","Good",1.4,-2.998,55,15.0013,72
"Jan","13","No","Saturday","Good",5.16,1.0016,38,19.9995,101
"Jan","14","No","Saturday","Good",6.1,3.0014,39,19.0012,118
"Jan","16","No","Saturday","Fair",7.98,5.9978,34,12.998,128
"Jan","17","No","Saturday","Fair",7.04,3.998,36,19.0012,83
"Jan","18","No","Saturday","Fair",6.1,3.0014,45,16.9979,84
"Jan","19","No","Saturday","Fair",7.04,3.998,39,16.9979,74
"Jan","20","No","Saturday","Fair",7.04,3.998,39,16.9979,41
"Jan","21","No","Saturday","Fair",7.04,3.998,39,15.0013,57
